round,test_acc,train_loss,uplink_mb,downlink_mb
1,0.0912,2.4310,0.00,10246.39
2,0.4518,1.8288,10246.39,20492.78
3,0.6318,1.0936,20492.78,30739.18
4,0.7231,0.8236,30739.18,40985.57
5,0.7655,0.6791,40985.57,51231.96
6,0.7876,0.5965,51231.96,61478.35
7,0.8023,0.5358,61478.35,71724.75
8,0.8082,0.5018,71724.75,81971.14
9,0.8192,0.4595,81971.14,92217.53
10,0.8242,0.4266,92217.53,102463.92
11,0.8299,0.4043,102463.92,112710.32
12,0.8314,0.3922,112710.32,122956.71
13,0.8397,0.3618,122956.71,133203.10
14,0.8429,0.3422,133203.10,143449.49
15,0.8425,0.3291,143449.49,153695.89
16,0.8482,0.3039,153695.89,163942.28
17,0.8519,0.2881,163942.28,174188.67
18,0.8514,0.2806,174188.67,184435.06
19,0.8525,0.2671,184435.06,194681.45
20,0.8543,0.2611,194681.45,204927.85
21,0.8599,0.2397,204927.85,215174.24
22,0.8591,0.2329,215174.24,225420.63
23,0.8603,0.2245,225420.63,235667.02
24,0.8597,0.2189,235667.02,245913.42
25,0.8646,0.2011,245913.42,256159.81
26,0.8641,0.1910,256159.81,266406.20
27,0.8639,0.1976,266406.20,276652.59
28,0.8644,0.1831,276652.59,286898.99
29,0.8661,0.1772,286898.99,297145.38
30,0.8680,0.1696,297145.38,307391.77
31,0.8694,0.1589,307391.77,317638.16
32,0.8682,0.1575,317638.16,327884.56
33,0.8677,0.1589,327884.56,338130.95
34,0.8684,0.1534,338130.95,348377.34
35,0.8687,0.1427,348377.34,358623.73
36,0.8703,0.1403,358623.73,368870.13
37,0.8716,0.1363,368870.13,379116.52
38,0.8725,0.1294,379116.52,389362.91
39,0.8725,0.1272,389362.91,399609.30
40,0.8713,0.1279,399609.30,409855.69
41,0.8710,0.1260,409855.69,420102.09
42,0.8715,0.1230,420102.09,430348.48
43,0.8725,0.1120,430348.48,440594.87
44,0.8728,0.1194,440594.87,450841.26
45,0.8730,0.1092,450841.26,461087.66
46,0.8731,0.1077,461087.66,471334.05
47,0.8749,0.1056,471334.05,481580.44
48,0.8749,0.1026,481580.44,491826.83
49,0.8729,0.1069,491826.83,502073.23
50,0.8734,0.0947,502073.23,512319.62
51,0.8755,0.0962,512319.62,522566.01
52,0.8725,0.1037,522566.01,532812.40
53,0.8736,0.0890,532812.40,543058.80
54,0.8741,0.0916,543058.80,553305.19
55,0.8746,0.0919,553305.19,563551.58
56,0.8749,0.0866,563551.58,573797.97
57,0.8743,0.0920,573797.97,584044.36
58,0.8756,0.0829,584044.36,594290.76
59,0.8765,0.0794,594290.76,604537.15
60,0.8753,0.0831,604537.15,614783.54
61,0.8769,0.0794,614783.54,625029.93
62,0.8751,0.0784,625029.93,635276.33
63,0.8753,0.0783,635276.33,645522.72
64,0.8759,0.0737,645522.72,655769.11
65,0.8753,0.0803,655769.11,666015.50
66,0.8763,0.0714,666015.50,676261.90
67,0.8749,0.0732,676261.90,686508.29
68,0.8754,0.0731,686508.29,696754.68
69,0.8755,0.0703,696754.68,707001.07
70,0.8762,0.0695,707001.07,717247.47
71,0.8763,0.0658,717247.47,727493.86
72,0.8761,0.0681,727493.86,737740.25
73,0.8755,0.0653,737740.25,747986.64
74,0.8729,0.0833,747986.64,758233.03
75,0.8743,0.0642,758233.03,768479.43
76,0.8767,0.0641,768479.43,778725.82
77,0.8771,0.0611,778725.82,788972.21
78,0.8753,0.0663,788972.21,799218.60
79,0.8783,0.0583,799218.60,809465.00
80,0.8766,0.0564,809465.00,819711.39
81,0.8779,0.0642,819711.39,829957.78
82,0.8769,0.0579,829957.78,840204.17
83,0.8787,0.0521,840204.17,850450.57
84,0.8784,0.0491,850450.57,860696.96
85,0.8781,0.0566,860696.96,870943.35
86,0.8788,0.0528,870943.35,881189.74
87,0.8784,0.0496,881189.74,891436.14
88,0.8769,0.0503,891436.14,901682.53
89,0.8783,0.0504,901682.53,911928.92
90,0.8791,0.0476,911928.92,922175.31
91,0.8794,0.0466,922175.31,932421.71
92,0.8757,0.0530,932421.71,942668.10
93,0.8771,0.0464,942668.10,952914.49
94,0.8778,0.0443,952914.49,963160.88
95,0.8776,0.0487,963160.88,973407.27
96,0.8783,0.0441,973407.27,983653.67
97,0.8766,0.0450,983653.67,993900.06
98,0.8779,0.0409,993900.06,1004146.45
99,0.8775,0.0418,1004146.45,1014392.84
100,0.8779,0.0383,1014392.84,1024639.24
101,0.8783,0.0398,1024639.24,1034885.63
