round,test_acc,train_loss,uplink_mb,downlink_mb
1,0.0962,2.4307,0.00,10246.39
2,0.2377,2.2386,10246.39,20492.78
3,0.4388,2.0029,20492.78,30739.18
4,0.5392,1.7595,30739.18,40985.57
5,0.6004,1.5420,40985.57,51231.96
6,0.6379,1.3767,51231.96,61478.35
7,0.6670,1.2511,61478.35,71724.75
8,0.6813,1.1562,71724.75,81971.14
9,0.6923,1.0771,81971.14,92217.53
10,0.7037,0.9955,92217.53,102463.92
11,0.7123,0.9375,102463.92,112710.32
12,0.7196,0.8880,112710.32,122956.71
13,0.7269,0.8562,122956.71,133203.10
14,0.7323,0.8144,133203.10,143449.49
15,0.7273,0.8031,143449.49,153695.89
16,0.7365,0.7649,153695.89,163942.28
17,0.7376,0.7382,163942.28,174188.67
18,0.7443,0.7226,174188.67,184435.06
19,0.7444,0.7006,184435.06,194681.45
20,0.7475,0.6811,194681.45,204927.85
21,0.7489,0.6679,204927.85,215174.24
22,0.7519,0.6520,215174.24,225420.63
23,0.7515,0.6390,225420.63,235667.02
24,0.7545,0.6292,235667.02,245913.42
25,0.7555,0.6085,245913.42,256159.81
26,0.7605,0.5968,256159.81,266406.20
27,0.7609,0.5874,266406.20,276652.59
28,0.7615,0.5859,276652.59,286898.99
29,0.7598,0.5796,286898.99,297145.38
30,0.7639,0.5634,297145.38,307391.77
31,0.7651,0.5493,307391.77,317638.16
32,0.7663,0.5451,317638.16,327884.56
33,0.7660,0.5406,327884.56,338130.95
34,0.7649,0.5423,338130.95,348377.34
35,0.7663,0.5334,348377.34,358623.73
36,0.7656,0.5379,358623.73,368870.13
37,0.7710,0.5114,368870.13,379116.52
38,0.7717,0.5080,379116.52,389362.91
39,0.7717,0.5068,389362.91,399609.30
40,0.7699,0.5010,399609.30,409855.69
41,0.7735,0.4953,409855.69,420102.09
42,0.7761,0.4839,420102.09,430348.48
43,0.7792,0.4781,430348.48,440594.87
44,0.7797,0.4755,440594.87,450841.26
45,0.7768,0.4714,450841.26,461087.66
46,0.7792,0.4726,461087.66,471334.05
47,0.7797,0.4665,471334.05,481580.44
48,0.7782,0.4620,481580.44,491826.83
49,0.7811,0.4576,491826.83,502073.23
50,0.7809,0.4506,502073.23,512319.62
51,0.7787,0.4546,512319.62,522566.01
52,0.7807,0.4448,522566.01,532812.40
53,0.7846,0.4408,532812.40,543058.80
54,0.7843,0.4404,543058.80,553305.19
55,0.7854,0.4337,553305.19,563551.58
56,0.7825,0.4417,563551.58,573797.97
57,0.7860,0.4323,573797.97,584044.36
58,0.7863,0.4308,584044.36,594290.76
59,0.7851,0.4265,594290.76,604537.15
60,0.7887,0.4207,604537.15,614783.54
61,0.7882,0.4165,614783.54,625029.93
62,0.7910,0.4122,625029.93,635276.33
63,0.7825,0.4276,635276.33,645522.72
64,0.7889,0.4132,645522.72,655769.11
65,0.7915,0.4126,655769.11,666015.50
66,0.7941,0.4068,666015.50,676261.90
67,0.7942,0.3981,676261.90,686508.29
68,0.7945,0.3963,686508.29,696754.68
69,0.7968,0.3914,696754.68,707001.07
70,0.7957,0.3897,707001.07,717247.47
71,0.7940,0.3914,717247.47,727493.86
72,0.7953,0.3839,727493.86,737740.25
73,0.7959,0.3835,737740.25,747986.64
74,0.7887,0.3957,747986.64,758233.03
75,0.7927,0.3867,758233.03,768479.43
76,0.7916,0.3945,768479.43,778725.82
77,0.7974,0.3727,778725.82,788972.21
78,0.7943,0.3839,788972.21,799218.60
79,0.7894,0.4041,799218.60,809465.00
80,0.7972,0.3763,809465.00,819711.39
81,0.7965,0.3715,819711.39,829957.78
82,0.8001,0.3655,829957.78,840204.17
83,0.8003,0.3621,840204.17,850450.57
84,0.7953,0.3779,850450.57,860696.96
85,0.8017,0.3576,860696.96,870943.35
86,0.7979,0.3620,870943.35,881189.74
87,0.7995,0.3617,881189.74,891436.14
88,0.8025,0.3515,891436.14,901682.53
89,0.8001,0.3541,901682.53,911928.92
90,0.8018,0.3538,911928.92,922175.31
91,0.7988,0.3544,922175.31,932421.71
92,0.8037,0.3433,932421.71,942668.10
93,0.7998,0.3554,942668.10,952914.49
94,0.7959,0.3594,952914.49,963160.88
95,0.8026,0.3477,963160.88,973407.27
96,0.8025,0.3439,973407.27,983653.67
97,0.8041,0.3430,983653.67,993900.06
98,0.8059,0.3425,993900.06,1004146.45
99,0.8087,0.3297,1004146.45,1014392.84
100,0.8075,0.3371,1014392.84,1024639.24
101,0.7987,0.3634,1024639.24,1034885.63
