round,test_acc,train_loss,uplink_mb,downlink_mb
1,0.0943,2.4299,0.00,10246.39
2,0.2520,2.1506,10246.39,20492.78
3,0.3773,1.8530,20492.78,30739.18
4,0.4449,1.5847,30739.18,40985.57
5,0.5053,1.3613,40985.57,51231.96
6,0.5604,1.1878,51231.96,61478.35
7,0.5951,1.0828,61478.35,71724.75
8,0.6363,0.9762,71724.75,81971.14
9,0.6824,0.8833,81971.14,92217.53
10,0.6750,0.8612,92217.53,102463.92
11,0.7030,0.8046,102463.92,112710.32
12,0.7243,0.7503,112710.32,122956.71
13,0.7404,0.7151,122956.71,133203.10
14,0.7390,0.6997,133203.10,143449.49
15,0.7470,0.6718,143449.49,153695.89
16,0.7625,0.6343,153695.89,163942.28
17,0.7678,0.6173,163942.28,174188.67
18,0.7707,0.6098,174188.67,184435.06
19,0.7688,0.6033,184435.06,194681.45
20,0.7760,0.5814,194681.45,204927.85
21,0.7781,0.5601,204927.85,215174.24
22,0.7823,0.5511,215174.24,225420.63
23,0.7837,0.5419,225420.63,235667.02
24,0.7926,0.5126,235667.02,245913.42
25,0.7936,0.5075,245913.42,256159.81
26,0.7977,0.4993,256159.81,266406.20
27,0.7933,0.5090,266406.20,276652.59
28,0.7953,0.5016,276652.59,286898.99
29,0.7958,0.4995,286898.99,297145.38
30,0.7998,0.4848,297145.38,307391.77
31,0.8001,0.4817,307391.77,317638.16
32,0.8045,0.4665,317638.16,327884.56
33,0.8089,0.4546,327884.56,338130.95
34,0.8090,0.4487,338130.95,348377.34
35,0.8070,0.4513,348377.34,358623.73
36,0.8090,0.4448,358623.73,368870.13
37,0.8146,0.4314,368870.13,379116.52
38,0.8127,0.4317,379116.52,389362.91
39,0.8102,0.4429,389362.91,399609.30
40,0.8111,0.4356,399609.30,409855.69
41,0.8133,0.4239,409855.69,420102.09
42,0.8171,0.4159,420102.09,430348.48
43,0.8164,0.4144,430348.48,440594.87
44,0.8160,0.4182,440594.87,450841.26
45,0.8146,0.4222,450841.26,461087.66
46,0.8164,0.4120,461087.66,471334.05
47,0.8162,0.4133,471334.05,481580.44
48,0.8210,0.4064,481580.44,491826.83
49,0.8185,0.3982,491826.83,502073.23
50,0.8215,0.3920,502073.23,512319.62
51,0.8224,0.3880,512319.62,522566.01
52,0.8217,0.3926,522566.01,532812.40
53,0.8221,0.3829,532812.40,543058.80
54,0.8242,0.3829,543058.80,553305.19
55,0.8252,0.3830,553305.19,563551.58
56,0.8251,0.3791,563551.58,573797.97
57,0.8248,0.3777,573797.97,584044.36
58,0.8271,0.3724,584044.36,594290.76
59,0.8269,0.3753,594290.76,604537.15
60,0.8286,0.3607,604537.15,614783.54
61,0.8285,0.3683,614783.54,625029.93
62,0.8271,0.3682,625029.93,635276.33
63,0.8299,0.3557,635276.33,645522.72
64,0.8283,0.3602,645522.72,655769.11
65,0.8261,0.3664,655769.11,666015.50
66,0.8265,0.3573,666015.50,676261.90
67,0.8270,0.3602,676261.90,686508.29
68,0.8301,0.3459,686508.29,696754.68
69,0.8280,0.3537,696754.68,707001.07
70,0.8305,0.3506,707001.07,717247.47
71,0.8279,0.3513,717247.47,727493.86
72,0.8317,0.3370,727493.86,737740.25
73,0.8311,0.3398,737740.25,747986.64
74,0.8327,0.3373,747986.64,758233.03
75,0.8295,0.3446,758233.03,768479.43
76,0.8312,0.3390,768479.43,778725.82
77,0.8292,0.3426,778725.82,788972.21
78,0.8321,0.3359,788972.21,799218.60
79,0.8331,0.3298,799218.60,809465.00
80,0.8333,0.3287,809465.00,819711.39
81,0.8343,0.3182,819711.39,829957.78
82,0.8345,0.3203,829957.78,840204.17
83,0.8309,0.3304,840204.17,850450.57
84,0.8251,0.3508,850450.57,860696.96
85,0.8301,0.3231,860696.96,870943.35
86,0.8283,0.3296,870943.35,881189.74
87,0.8311,0.3361,881189.74,891436.14
88,0.8340,0.3202,891436.14,901682.53
89,0.8335,0.3140,901682.53,911928.92
90,0.8337,0.3144,911928.92,922175.31
91,0.8346,0.3117,922175.31,932421.71
92,0.8357,0.3110,932421.71,942668.10
93,0.8351,0.3177,942668.10,952914.49
94,0.8368,0.3102,952914.49,963160.88
95,0.8378,0.3011,963160.88,973407.27
96,0.8353,0.3080,973407.27,983653.67
97,0.8339,0.3101,983653.67,993900.06
98,0.8363,0.3059,993900.06,1004146.45
99,0.8371,0.3045,1004146.45,1014392.84
100,0.8367,0.3081,1014392.84,1024639.24
101,0.8361,0.3059,1024639.24,1034885.63
