round,test_acc,train_loss,uplink_mb,downlink_mb
1,0.0962,2.4307,0.00,10246.39
2,0.1869,2.2384,10246.39,20492.78
3,0.4409,2.0097,20492.78,30739.18
4,0.5520,1.7498,30739.18,40985.57
5,0.5951,1.5346,40985.57,51231.96
6,0.6343,1.3849,51231.96,61478.35
7,0.6555,1.2335,61478.35,71724.75
8,0.6756,1.1228,71724.75,81971.14
9,0.6833,1.0436,81971.14,92217.53
10,0.6958,0.9773,92217.53,102463.92
11,0.7070,0.9245,102463.92,112710.32
12,0.7117,0.8766,112710.32,122956.71
13,0.7121,0.8569,122956.71,133203.10
14,0.7243,0.8250,133203.10,143449.49
15,0.7300,0.7833,143449.49,153695.89
16,0.7331,0.7558,153695.89,163942.28
17,0.7347,0.7377,163942.28,174188.67
18,0.7423,0.7010,174188.67,184435.06
19,0.7427,0.6925,184435.06,194681.45
20,0.7459,0.6769,194681.45,204927.85
21,0.7461,0.6732,204927.85,215174.24
22,0.7500,0.6524,215174.24,225420.63
23,0.7513,0.6393,225420.63,235667.02
24,0.7543,0.6185,235667.02,245913.42
25,0.7563,0.6043,245913.42,256159.81
26,0.7575,0.5923,256159.81,266406.20
27,0.7592,0.5860,266406.20,276652.59
28,0.7587,0.5786,276652.59,286898.99
29,0.7620,0.5615,286898.99,297145.38
30,0.7647,0.5529,297145.38,307391.77
31,0.7657,0.5507,307391.77,317638.16
32,0.7677,0.5386,317638.16,327884.56
33,0.7652,0.5320,327884.56,338130.95
34,0.7683,0.5293,338130.95,348377.34
35,0.7675,0.5201,348377.34,358623.73
36,0.7657,0.5256,358623.73,368870.13
37,0.7715,0.5093,368870.13,379116.52
38,0.7711,0.5078,379116.52,389362.91
39,0.7748,0.4995,389362.91,399609.30
40,0.7767,0.4938,399609.30,409855.69
41,0.7760,0.4864,409855.69,420102.09
42,0.7768,0.4816,420102.09,430348.48
43,0.7758,0.4863,430348.48,440594.87
44,0.7776,0.4742,440594.87,450841.26
45,0.7777,0.4738,450841.26,461087.66
46,0.7781,0.4708,461087.66,471334.05
47,0.7775,0.4665,471334.05,481580.44
48,0.7805,0.4572,481580.44,491826.83
49,0.7787,0.4555,491826.83,502073.23
50,0.7801,0.4507,502073.23,512319.62
51,0.7800,0.4477,512319.62,522566.01
52,0.7833,0.4456,522566.01,532812.40
53,0.7791,0.4524,532812.40,543058.80
54,0.7838,0.4416,543058.80,553305.19
55,0.7847,0.4412,553305.19,563551.58
56,0.7861,0.4272,563551.58,573797.97
57,0.7829,0.4327,573797.97,584044.36
58,0.7846,0.4226,584044.36,594290.76
59,0.7872,0.4174,594290.76,604537.15
60,0.7867,0.4190,604537.15,614783.54
61,0.7865,0.4191,614783.54,625029.93
62,0.7851,0.4292,625029.93,635276.33
63,0.7866,0.4159,635276.33,645522.72
64,0.7901,0.4112,645522.72,655769.11
65,0.7877,0.4110,655769.11,666015.50
66,0.7915,0.4045,666015.50,676261.90
67,0.7889,0.4082,676261.90,686508.29
68,0.7907,0.4091,686508.29,696754.68
69,0.7925,0.3949,696754.68,707001.07
70,0.7933,0.3952,707001.07,717247.47
71,0.7945,0.3915,717247.47,727493.86
72,0.7955,0.3869,727493.86,737740.25
73,0.7943,0.3851,737740.25,747986.64
74,0.7927,0.3838,747986.64,758233.03
75,0.7933,0.3866,758233.03,768479.43
76,0.7927,0.3855,768479.43,778725.82
77,0.7947,0.3838,778725.82,788972.21
78,0.7965,0.3765,788972.21,799218.60
79,0.7966,0.3745,799218.60,809465.00
80,0.7979,0.3688,809465.00,819711.39
81,0.7933,0.3830,819711.39,829957.78
82,0.7987,0.3625,829957.78,840204.17
83,0.7991,0.3579,840204.17,850450.57
84,0.7977,0.3647,850450.57,860696.96
85,0.7990,0.3625,860696.96,870943.35
86,0.8006,0.3625,870943.35,881189.74
87,0.8022,0.3619,881189.74,891436.14
88,0.8027,0.3500,891436.14,901682.53
89,0.7991,0.3617,901682.53,911928.92
90,0.8011,0.3542,911928.92,922175.31
91,0.8044,0.3449,922175.31,932421.71
92,0.8040,0.3483,932421.71,942668.10
93,0.8029,0.3448,942668.10,952914.49
94,0.8011,0.3605,952914.49,963160.88
95,0.8052,0.3443,963160.88,973407.27
96,0.8052,0.3413,973407.27,983653.67
97,0.8033,0.3421,983653.67,993900.06
98,0.8055,0.3374,993900.06,1004146.45
99,0.8079,0.3309,1004146.45,1014392.84
100,0.8063,0.3320,1014392.84,1024639.24
101,0.8079,0.3273,1024639.24,1034885.63
